id,name,type,club,youth,nation,peakvalue
sge11,Faride Alidou,1,sge,hsv,NA,A
sge15,Daichi Kamada,1,sge,hhs,NA,H
sge17,Sebastian Rode,1,sge,off,NA,D
sge18,Almamy Toure,1,sge,asm,NA,D
sge19,Rafael Borre,1,sge,cal,NA,F
sge2,Evan N Dicka,1,sge,aux,NA,I
sge20,Makoto Hasebe,1,sge,fhs,NA,B
sge21,Lucas Alario,1,sge,cac,NA,F
sge22,Timothy Chandler,1,sge,sgej,NA,B
sge24,Aurelio Buta,1,sge,ben,NA,C
sge25,Christopher Lenz,1,sge,bmgj,NA,B
sge26,Junior Dina Ebimbe,1,sge,psg,NA,C
sge27,Mario Goetze,1,sge,bvbj,NA,K
sge28,Marcel Wenig,1,sge,fcbj,NA,A
sge29,Jesper Lindstrom,1,sge,bro,NA,H
sge31,Jens Grahl,1,sge,stk,NA,A
sge32,Philipp Max,1,sge,gelj,NA,F
sge35,Tuta,1,sge,saop,NA,E
sge36,Ansgar Knauff,1,sge,bvbj,NA,D
sge40,Diant Ramaj,1,sge,heid,NA,A
sge5,Hrvoje Smolcic,1,sge,rij,NA,B
sge6,Kristijan Jakic,1,sge,spli,NA,D
sge8,Djibril Sow,1,sge,fcz,NA,G
sge9,Randal Kolo Muani,1,sge,nan,NA,I
sgej,Frankfurt Jugend,2,NA,NA,GER,NA
shak,Shakhtar Donezk,2,NA,NA,UKR,NA
shb,Shonan Bellmare,2,NA,NA,JAP,NA
silk,Silkeborg IF,2,NA,NA,SWE,NA
slpr,Slavia Prag,2,NA,NA,CZE,NA
smy,Apollon Smyrnis,2,NA,NA,GRE,NA
soc,FC Sochaux,2,NA,NA,FRA,NA
spli,RNK Split,2,NA,NA,CRO,NA
spo,Sporting Lissabon,2,NA,NA,POR,NA
spra,Sparta Prag,2,NA,NA,CZE,NA
stab,Stabaek IF,2,NA,NA,DEN,NA
stk,SV Stuttgarter Kickers,2,NA,NA,GER,NA
stl,Stade Laval,2,NA,NA,FRA,NA
stp,FC St Pauli,2,NA,NA,GER,NA
stpo,FC St Polten,2,NA,NA,AUT,NA
stra,Racing Strassbourg,2,NA,NA,FRA,NA
suco,Supreme Court FC,2,NA,NA,NIG,NA
sun,GIF Sundsvall,2,NA,NA,SWE,NA
svka,SV Kapfenberg,2,NA,NA,AUT,NA
svw,Werder Bremen,2,NA,NA,GER,NA
svw1,Jiri Pavlenka,1,svw,ostr,NA,E
svw10,Leonardo Bittencourt,1,svw,cott,NA,C
svw11,Niclas Fuellkrug,1,svw,svwj,NA,E
svw13,Milos Veljkovic,1,svw,tot,NA,E
svw17,Maximilian Philipp,1,svw,scf,NA,F
svw19,Dikeni Salifou,1,svw,fcaj,NA,A
svw20,Romano Schmid,1,svw,graz,NA,B
svw21,Eren Dinkci,1,svw,svwj,NA,A
svw22,Niklas Schmidt,1,svw,svwj,NA,A
svw26,Lee Buchanan,1,svw,der,NA,B
svw27,Felix Agu,1,svw,osna,NA,A
svw28,Ilia Gruev,1,svw,svwj,NA,B
svw3,Anthony Jung,1,svw,sgej,NA,A
svw30,Michael Zetterer,1,svw,uha,NA,A
svw32,Marco Friedl,1,svw,fcbj,NA,C
svw34,Jean Manuel Mbom,1,svw,svwj,NA,B
svw36,Christian Gross,1,svw,hsv,NA,A
svw39,Fabio Chiarodia,1,svw,svwj,NA,A
svw4,Niklas Stark,1,svw,fcn,NA,F
svw5,Amos Pieper,1,svw,bvbj,NA,C
svw6,Jens Stage,1,svw,brab,NA,B
svw7,Marvin Ducksch,1,svw,bvbj,NA,B
svw8,Mitchell Weiser,1,svw,koej,NA,E
svwj,SV Werder Bremen Jugend,2,NA,NA,GER,NA
tor,Torpedo Moskau,2,NA,NA,RUS,NA
tot,Tottenham Hotspur,2,NA,NA,ENG,NA
tou,FC Toulouse,2,NA,NA,FRA,NA
tps,Turun Palloseura,2,NA,NA,FIN,NA
tsg,TSG Hoffenheim,2,NA,NA,GER,NA
tsg1,Oliver Baumann,1,tsg,scfj,NA,D
tsg10,Munas Dabbour,1,tsg,macc,NA,E
tsg11,Angelino,1,tsg,manc,NA,I
tsg13,Angelo Stiller,1,tsg,fcbj,NA,C
tsg14,Christoph Baumgartner,1,tsg,tsgj,NA,G
tsg16,Sebastian Rudy,1,tsg,vfbj,NA,E
tsg17,Thomas Delaney,1,tsg,kop,NA,H
tsg19,Kasper Dolberg,1,tsg,aja,NA,G
tsg20,Finn Ole Becker,1,tsg,stp,NA,A
tsg22,Kevin Vogt,1,tsg,bocj,NA,F
tsg23,John Anthony Brooks,1,tsg,bscj,NA,E
tsg25,Kevin Akpoguma,1,tsg,ksc,NA,E
tsg26,Eduardo Quaresma,1,tsg,spo,NA,C
tsg27,Andrej Kramaric,1,tsg,zag,NA,I
tsg29,Robert Skov,1,tsg,silk,NA,E
tsg3,Pavel Kaderabek,1,tsg,spra,NA,F
tsg34,Stanley Nsoki,1,tsg,psg,NA,E
tsg35,Muhammed Damar,1,tsg,sgej,NA,A
tsg39,Tom Bischof,1,tsg,tsgj,NA,A
tsg4,Ermin Bicakcic,1,tsg,vfbj,NA,B
tsg40,Umut Tohumcu,1,tsg,tsgj,NA,A
tsg44,Fisnik Asllani,1,tsg,fcuj,NA,A
tsg5,Ozan Kabak,1,tsg,gala,NA,I
tsg6,Grischa Proemel,1,tsg,tsgj,NA,C
tsg7,Jacob Bruun Larsen,1,tsg,bvbj,NA,F
tsg8,Dennis Geiger,1,tsg,tsgj,NA,E
tsg9,Ihlas Bebou,1,tsg,for,NA,F
tsgj,TSG Hoffenheim Jugend,2,NA,NA,GER,NA
twen,Twente Enschede,2,NA,NA,NED,NA
twl,TWL Elektra,2,NA,NA,POL,NA
uha,SpVgg Unterhaching,2,NA,NA,GER,NA
ura,Urawa Reds,2,NA,NA,JAP,NA
vafc,Valenciennes FC,2,NA,NA,FRA,NA
vanw,Vancouver Whitecaps,2,NA,NA,CAN,NA
vfb,VfB Stuttgart,2,NA,NA,GER,NA
vfb1,Florian Mueller,1,vfb,fsvj,NA,D
vfb10,Tiago Tomas,1,vfb,spo,NA,C
vfb11,Juan Jose Perea,1,vfb,prt,NA,A
vfb14,Silas Katompa Mvumpa,1,vfb,pfc,NA,G
vfb15,Pascal Stenzel,1,vfb,bvbj,NA,C
vfb16,Atakan Karazor,1,vfb,bocj,NA,B
vfb17,Genki Haraguchi,1,vfb,ura,NA,B
vfb2,Waldemar Anton,1,vfb,han,NA,E
vfb20,Luca Pfeiffer,1,vfb,stk,NA,B
vfb21,Hiroki Ito,1,vfb,iwa,NA,C
vfb22,Chris Fuehrich,1,vfb,rwo,NA,B
vfb23,Dan Axel Zagadou,1,vfb,psg,NA,I
vfb24,Borna Sosa,1,vfb,zag,NA,G
vfb25,Lilian Egloff,1,vfb,vfbj,NA,A
vfb27,Alou Kuol,1,vfb,cco,NA,A
vfb28,Nikolas Nartey,1,vfb,kop,NA,A
vfb3,Wataru Endo,1,vfb,shb,NA,D
vfb31,Gil Dias,1,vfb,asm,NA,B
vfb33,Fabian Bredlow,1,vfb,rblj,NA,A
vfb34,Omer Beyaz,1,vfb,fen,NA,A
vfb36,Laurin Ulrich,1,vfb,vfbj,NA,A
vfb37,Antonis Aidonis,1,vfb,vfbj,NA,A
vfb39,Thomas Kastanaras,1,vfb,vfbj,NA,A
vfb4,Josha Vagnoman,1,vfb,hsv,NA,B
vfb5,Konstantinos Mavropanos,1,vfb,smy,NA,F
vfb7,Tanguy Coulibaly,1,vfb,psg,NA,C
vfb8,Enzo Millot,1,vfb,asm,NA,A
vfb9,Serhou Guirassy,1,vfb,stl,NA,E
vfbj,VfB Stuttgart Jugend,2,NA,NA,GER,NA
vfra,VfR Aalen,2,NA,NA,GER,NA
vik,Viking FK,2,NA,NA,NOR,NA
vol,FC Volendaam,2,NA,NA,NED,NA
wad,Wadi Degla,2,NA,NA,POL,NA
whu,West Ham United,2,NA,NA,ENG,NA
wob,VfL Wolfsburg,2,NA,NA,GER,NA
wob1,Koen Casteels ,1,wob,krc,NA,E
wob10,Lukas Nmecha,1,wob,manc,NA,F
wob12,Pavao Pervan,1,wob,twl,NA,A
wob16,Jakub Kaminski,1,wob,lech,NA,D
wob2,Kilian Fischer,1,wob,mu60,NA,A
wob20,Ridle Baku,1,wob,fsvj,NA,G
wob22,Felix Nmecha,1,wob,manc,NA,B
wob23,Jonas Wind,1,wob,kop,NA,E
wob27,Maximilian Arnold,1,wob,wobj,NA,F
wob29,Joshua Guilavogui,1,wob,asse,NA,E
wob3,Sebastiaan Bornauw,1,wob,and,NA,E
wob31,Yannik Gerhardt,1,wob,koej,NA,E
wob32,Mattias Svanberg,1,wob,maff,NA,E
wob33,Omar Marmoush,1,wob,wad,NA,C
wob38,Bartol Franjic,1,wob,zag,NA,C
wob39,Patrick Wimmer,1,wob,awie,NA,D
wob4,Maxence Lacroix,1,wob,soc,NA,H
wob40,Kevin Paredes,1,wob,dcu,NA,B
wob5,Micky van de Veen,1,wob,vol,NA,D
wob6,Paulo Otavio,1,wob,atpr,NA,D
wob7,Luca Waldschmidt,1,wob,sgej,NA,G
wobj,VfL Wolfsburg Jugend,2,NA,NA,GER,NA
ybb,Young Boys Bern,2,NA,NA,SUI,NA
yok,Yokkaichi Highschool,2,NA,NA,JAP,NA
zag,Dinamo Zagreb,2,NA,NA,CRO,NA
zapr,Inter Zapresic,2,NA,NA,CRO,NA
zaw,Zawisza Bydgoszcz,2,NA,NA,POL,NA
zwo,PEC Zwolle,2,NA,NA,NED,NA
sag,Sagan Tosu,2,NA,NA,JAP,NA
roy,Royal Antwerpen,2,NA,NA,BEL,NA
turk,Turkgucu Muenchen,2,NA,NA,GER,NA
pay,Paysandu FC,2,NA,NA,BRA,NA
pne,Preston North End,2,NA,NA,ENG,NA
vit,Vitesse Arnheim,2,NA,NA,NED,NA
fcv,FC Voluntari,2,NA,NA,ROM,NA
hull,Hull City FC,2,NA,NA,ENG,NA
dre,Dynamo Dresden,2,NA,NA,GER,NA
svww,Wehen Wiesbaden,2,NA,NA,GER,NA
hif,Hammarby IF,2,NA,NA,SWE,NA
kaz,Rubin Kazan,2,NA,NA,RUS,NA
gui,Vittoria Guimaraes,2,NA,NA,POR,NA
crot,FC Crotone,2,NA,NA,ITA,NA
cel,Celtic Glasgow,2,NA,NA,SCO,NA
scp,SC Paderborn,2,NA,NA,GER,NA
hol,Holstein Kiel,2,NA,NA,GER,NA
rot,Sparta Rotterdam,2,NA,NA,NED,NA
naz,Maccabi Ahi Nazareth,2,NA,NA,ISR,NA
gomb,Gombe United,2,NA,NA,NIG,NA
wig,Wigry Suwalki,2,NA,NA,POL,NA
ala,Deportivo Alaves,2,NA,NA,ESP,NA
cerc,Cercle Bruegge,2,NA,NA,BEL,NA
pasg,PAS Giannina,2,NA,NA,GRE,NA
pan,Panathinaikos Athen,2,NA,NA,GRE,NA
hfc,Hallescher FC,2,NA,NA,GER,NA
wis,Wisla Plock,2,NA,NA,POL,NA
fcc,FC Cannes,2,NA,NA,FRA,NA
svs,SV Sandhausen,2,NA,NA,GER,NA
sanf,Sanfrecce Hiroshima,2,NA,NA,JAP,NA
bolt,Bolton Wanderers,2,NA,NA,ENG,NA
apo,Apollon Pontou,2,NA,NA,GRE,NA
gran,FC Granada,2,NA,NA,ESP,NA
raja,Raja Casablanca,2,NA,NA,MAR,NA
kiel,Korona Kielce,2,NA,NA,POL,NA
fcm,FC Magdeburg,2,NA,NA,GER,NA
lau,FC Lausanne,2,NA,NA,SUI,NA
tep,FK Teplice,2,NA,NA,CZE,NA
